Date : 2023-10-20 11:36:25
Directory : c:\Users\seanh\OneDrive\Aether
Total : 781 files,  194128 codes, 60777 comments, 32007 blanks, all 286912 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| env\Lib\site-packages\pip (Files)                                                                                       |          2 |         19 |         17 |         10 |         46 |
| env\Lib\site-packages\pip\_internal                                                                                     |        141 |     17,629 |      5,635 |      4,254 |     27,518 |
| env\Lib\site-packages\pip\_internal (Files)                                                                             |          9 |      1,237 |        564 |        351 |      2,152 |
| env\Lib\site-packages\pip\_internal\cli                                                                                 |         12 |      1,899 |        416 |        429 |      2,744 |
| env\Lib\site-packages\pip\_internal\commands                                                                            |         17 |      2,312 |        355 |        505 |      3,172 |
| env\Lib\site-packages\pip\_internal\distributions                                                                       |          5 |        127 |         46 |         42 |        215 |
| env\Lib\site-packages\pip\_internal\index                                                                               |          4 |      1,086 |        412 |        248 |      1,746 |
| env\Lib\site-packages\pip\_internal\locations                                                                           |          4 |        510 |        156 |        129 |        795 |
| env\Lib\site-packages\pip\_internal\metadata                                                                            |          3 |        269 |         96 |         81 |        446 |
| env\Lib\site-packages\pip\_internal\models                                                                              |         11 |        672 |        212 |        190 |      1,074 |
| env\Lib\site-packages\pip\_internal\network                                                                             |          8 |        841 |        333 |        225 |      1,399 |
| env\Lib\site-packages\pip\_internal\operations                                                                          |         13 |      1,554 |        433 |        352 |      2,339 |
| env\Lib\site-packages\pip\_internal\operations (Files)                                                                  |          4 |        737 |        193 |        159 |      1,089 |
| env\Lib\site-packages\pip\_internal\operations\build                                                                    |          5 |        178 |         36 |         48 |        262 |
| env\Lib\site-packages\pip\_internal\operations\install                                                                  |          4 |        639 |        204 |        145 |        988 |
| env\Lib\site-packages\pip\_internal\req                                                                                 |          7 |      1,995 |        501 |        402 |      2,898 |
| env\Lib\site-packages\pip\_internal\resolution                                                                          |         13 |      1,854 |        471 |        404 |      2,729 |
| env\Lib\site-packages\pip\_internal\resolution (Files)                                                                  |          2 |         13 |          0 |          7 |         20 |
| env\Lib\site-packages\pip\_internal\resolution\legacy                                                                   |          2 |        273 |        124 |         58 |        455 |
| env\Lib\site-packages\pip\_internal\resolution\resolvelib                                                               |          9 |      1,568 |        347 |        339 |      2,254 |
| env\Lib\site-packages\pip\_internal\utils                                                                               |         29 |      2,198 |      1,106 |        673 |      3,977 |
| env\Lib\site-packages\pip\_internal\vcs                                                                                 |          6 |      1,075 |        534 |        223 |      1,832 |
| env\Lib\site-packages\pip\_vendor                                                                                       |        246 |     90,652 |     18,793 |     10,303 |    119,748 |
| env\Lib\site-packages\pip\_vendor (Files)                                                                               |          5 |      5,010 |      4,037 |      1,037 |     10,084 |
| env\Lib\site-packages\pip\_vendor\cachecontrol                                                                          |         13 |        738 |        268 |        265 |      1,271 |
| env\Lib\site-packages\pip\_vendor\cachecontrol (Files)                                                                  |         10 |        627 |        235 |        225 |      1,087 |
| env\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                   |          3 |        111 |         33 |         40 |        184 |
| env\Lib\site-packages\pip\_vendor\certifi                                                                               |          3 |         41 |         31 |         22 |         94 |
| env\Lib\site-packages\pip\_vendor\chardet                                                                               |         43 |     36,105 |      1,493 |        507 |     38,105 |
| env\Lib\site-packages\pip\_vendor\chardet (Files)                                                                       |         39 |     35,820 |      1,401 |        485 |     37,706 |
| env\Lib\site-packages\pip\_vendor\chardet\cli                                                                           |          2 |         43 |         31 |         13 |         87 |
| env\Lib\site-packages\pip\_vendor\chardet\metadata                                                                      |          2 |        242 |         61 |          9 |        312 |
| env\Lib\site-packages\pip\_vendor\colorama                                                                              |          6 |        552 |         97 |        124 |        773 |
| env\Lib\site-packages\pip\_vendor\distlib                                                                               |         19 |      9,665 |      3,300 |      1,755 |     14,720 |
| env\Lib\site-packages\pip\_vendor\distlib (Files)                                                                       |         13 |      6,967 |      2,270 |      1,189 |     10,426 |
| env\Lib\site-packages\pip\_vendor\distlib\_backport                                                                     |          6 |      2,698 |      1,030 |        566 |      4,294 |
| env\Lib\site-packages\pip\_vendor\html5lib                                                                              |         33 |     10,414 |      1,470 |      1,392 |     13,276 |
| env\Lib\site-packages\pip\_vendor\html5lib (Files)                                                                      |          8 |      7,608 |        857 |        829 |      9,294 |
| env\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                        |          3 |         77 |          2 |         36 |        115 |
| env\Lib\site-packages\pip\_vendor\html5lib\filters                                                                      |          8 |      1,088 |        192 |         96 |      1,376 |
| env\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                 |          3 |         82 |         32 |         23 |        137 |
| env\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                 |          5 |      1,003 |        222 |        259 |      1,484 |
| env\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                  |          6 |        556 |        165 |        149 |        870 |
| env\Lib\site-packages\pip\_vendor\idna                                                                                  |          8 |     10,792 |        146 |        204 |     11,142 |
| env\Lib\site-packages\pip\_vendor\msgpack                                                                               |          5 |        928 |        312 |        148 |      1,388 |
| env\Lib\site-packages\pip\_vendor\packaging                                                                             |         11 |      1,748 |        646 |        574 |      2,968 |
| env\Lib\site-packages\pip\_vendor\pep517                                                                                |         11 |        963 |        323 |        266 |      1,552 |
| env\Lib\site-packages\pip\_vendor\pep517 (Files)                                                                        |          9 |        737 |        245 |        202 |      1,184 |
| env\Lib\site-packages\pip\_vendor\pep517\in_process                                                                     |          2 |        226 |         78 |         64 |        368 |
| env\Lib\site-packages\pip\_vendor\pkg_resources                                                                         |          2 |      1,847 |        903 |        571 |      3,321 |
| env\Lib\site-packages\pip\_vendor\progress                                                                              |          4 |        214 |         56 |         86 |        356 |
| env\Lib\site-packages\pip\_vendor\requests                                                                              |         18 |      2,611 |      1,659 |        895 |      5,165 |
| env\Lib\site-packages\pip\_vendor\resolvelib                                                                            |          7 |        437 |        254 |        147 |        838 |
| env\Lib\site-packages\pip\_vendor\resolvelib (Files)                                                                    |          5 |        432 |        254 |        144 |        830 |
| env\Lib\site-packages\pip\_vendor\resolvelib\compat                                                                     |          2 |          5 |          0 |          3 |          8 |
| env\Lib\site-packages\pip\_vendor\tenacity                                                                              |         11 |        785 |        343 |        307 |      1,435 |
| env\Lib\site-packages\pip\_vendor\tomli                                                                                 |          3 |        495 |        202 |         98 |        795 |
| env\Lib\site-packages\pip\_vendor\urllib3                                                                               |         39 |      6,539 |      3,009 |      1,802 |     11,350 |
| env\Lib\site-packages\pip\_vendor\urllib3 (Files)                                                                       |         11 |      2,296 |      1,278 |        689 |      4,263 |
| env\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                       |         10 |      1,891 |        684 |        479 |      3,054 |
| env\Lib\site-packages\pip\_vendor\urllib3\contrib (Files)                                                               |          7 |      1,294 |        514 |        328 |      2,136 |
| env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                      |          3 |        597 |        170 |        151 |        918 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages                                                                      |          6 |        877 |        204 |        242 |      1,323 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages (Files)                                                              |          2 |        738 |        133 |        213 |      1,084 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                            |          2 |         38 |         11 |          4 |         53 |
| env\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                   |          2 |        101 |         60 |         25 |        186 |
| env\Lib\site-packages\pip\_vendor\urllib3\util                                                                          |         12 |      1,475 |        843 |        392 |      2,710 |
| env\Lib\site-packages\pip\_vendor\webencodings                                                                          |          5 |        768 |        244 |        103 |      1,115 |
| env\Lib\site-packages\pkg_resources                                                                                     |         17 |      6,590 |      4,325 |      1,731 |     12,646 |
| env\Lib\site-packages\pkg_resources (Files)                                                                             |          1 |      1,827 |        900 |        562 |      3,289 |
| env\Lib\site-packages\pkg_resources\_vendor                                                                             |         14 |      4,711 |      3,410 |      1,155 |      9,276 |
| env\Lib\site-packages\pkg_resources\_vendor (Files)                                                                     |          3 |      3,141 |      2,607 |        605 |      6,353 |
| env\Lib\site-packages\pkg_resources\_vendor\packaging                                                                   |         11 |      1,570 |        803 |        550 |      2,923 |
| env\Lib\site-packages\pkg_resources\extern                                                                              |          1 |         46 |         15 |         13 |         74 |
| env\Lib\site-packages\pkg_resources\tests                                                                               |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\pkg_resources\tests\data                                                                          |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\pkg_resources\tests\data\my-test-package-source                                                   |          1 |          6 |          0 |          1 |          7 |
| env\Lib\site-packages\setuptools                                                                                        |        122 |     24,710 |     13,270 |      6,003 |     43,983 |
| env\Lib\site-packages\setuptools (Files)                                                                                |         25 |      4,270 |      1,896 |      1,157 |      7,323 |
| env\Lib\site-packages\setuptools\_distutils                                                                             |         54 |     10,070 |      4,548 |      2,344 |     16,962 |
| env\Lib\site-packages\setuptools\_distutils (Files)                                                                     |         30 |      5,769 |      3,279 |      1,422 |     10,470 |
| env\Lib\site-packages\setuptools\_distutils\command                                                                     |         24 |      4,301 |      1,269 |        922 |      6,492 |
| env\Lib\site-packages\setuptools\_vendor                                                                                |         17 |      6,176 |      5,833 |      1,599 |     13,608 |
| env\Lib\site-packages\setuptools\_vendor (Files)                                                                        |          3 |      2,994 |      2,659 |        580 |      6,233 |
| env\Lib\site-packages\setuptools\_vendor\more_itertools                                                                 |          3 |      1,612 |      2,371 |        469 |      4,452 |
| env\Lib\site-packages\setuptools\_vendor\packaging                                                                      |         11 |      1,570 |        803 |        550 |      2,923 |
| env\Lib\site-packages\setuptools\command                                                                                |         25 |      4,148 |        978 |        890 |      6,016 |
| env\Lib\site-packages\setuptools\extern                                                                                 |          1 |         46 |         15 |         13 |         74 |
| env\Lib\site-packages\werkzeug                                                                                          |         64 |     13,776 |      7,160 |      3,391 |     24,327 |
| env\Lib\site-packages\werkzeug (Files)                                                                                  |         15 |      5,633 |      3,211 |      1,546 |     10,390 |
| env\Lib\site-packages\werkzeug\datastructures                                                                           |         20 |      2,639 |      1,057 |        628 |      4,324 |
| env\Lib\site-packages\werkzeug\debug                                                                                    |          7 |      1,441 |        247 |        307 |      1,995 |
| env\Lib\site-packages\werkzeug\debug (Files)                                                                            |          4 |      1,003 |        229 |        245 |      1,477 |
| env\Lib\site-packages\werkzeug\debug\shared                                                                             |          3 |        438 |         18 |         62 |        518 |
| env\Lib\site-packages\werkzeug\middleware                                                                               |          7 |        787 |        365 |        195 |      1,347 |
| env\Lib\site-packages\werkzeug\routing                                                                                  |          6 |      1,390 |        961 |        298 |      2,649 |
| env\Lib\site-packages\werkzeug\sansio                                                                                   |          6 |      1,248 |        612 |        268 |      2,128 |
| env\Lib\site-packages\werkzeug\wrappers                                                                                 |          3 |        638 |        707 |        149 |      1,494 |
| env\Scripts                                                                                                             |          3 |        149 |        263 |         52 |        464 |
| frontend                                                                                                                |         11 |     17,376 |         29 |         67 |     17,472 |
| frontend (Files)                                                                                                        |          3 |     17,173 |          0 |         35 |     17,208 |
| frontend\public                                                                                                         |          2 |         45 |         23 |          2 |         70 |
| frontend\src                                                                                                            |          6 |        158 |          6 |         30 |        194 |
| frontend\src (Files)                                                                                                    |          2 |         33 |          3 |          7 |         43 |
| frontend\src\components                                                                                                 |          3 |         96 |          3 |         19 |        118 |
| frontend\src\css                                                                                                        |          1 |         29 |          0 |          4 |         33 |
| python                                                                                                                  |          7 |        482 |         38 |        132 |        652 |
| static                                                                                                                  |         13 |        643 |         23 |        108 |        774 |
| static\css                                                                                                              |          4 |        379 |          0 |         72 |        451 |
| static\js                                                                                                               |          4 |        223 |         20 |         35 |        278 |
| static\react_app                                                                                                        |          5 |         41 |          3 |          1 |         45 |
| static\react_app (Files)                                                                                                |          3 |         39 |          0 |          1 |         40 |
| static\react_app\static                                                                                                 |          2 |          2 |          3 |          0 |          5 |
| static\react_app\static\css                                                                                             |          1 |          1 |          1 |          0 |          2 |
| static\react_app\static\js                                                                                              |          1 |          1 |          2 |          0 |          3 |
| templates                                                                                                               |         12 |        262 |         17 |         22 |        301 |
| templates (Files)                                                                                                       |          4 |        118 |          7 |          8 |        133 |
| templates\feeds                                                                                                         |          3 |         21 |          2 |          8 |         31 |
| templates\profiles                                                                                                      |          3 |         83 |          8 |          6 |         97 |
| templates\site_entrance                                                                                                 |          2 |         40 |          0 |          0 |         40 |
| unneeded                                                                                                                |         33 |        586 |         46 |        137 |        769 |
| unneeded (Files)                                                                                                        |         11 |        259 |         31 |         57 |        347 |
| unneeded\old                                                                                                            |         14 |        226 |          8 |         61 |        295 |
| unneeded\react-setup                                                                                                    |          8 |        101 |          7 |         19 |        127 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\app.json                                                         | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\appearance.json                                                  | JSON             |          3 |          0 |          0 |          3 |
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\core-plugins-migration.json                                      | JSON             |         29 |          0 |          0 |         29 |
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\core-plugins.json                                                | JSON             |         20 |          0 |          0 |         20 |
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\hotkeys.json                                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\seanh\OneDrive\Aether\Project notes\.obsidian\workspace.json                                                   | JSON             |        153 |          0 |          0 |        153 |
| c:\Users\seanh\OneDrive\Aether\app.py                                                                                   | Python           |         29 |          0 |          6 |         35 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Flask-2.3.2.dist-info\LICENSE.rst                                  | reStructuredText |         23 |          0 |          6 |         29 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst                                 | reStructuredText |         23 |          0 |          6 |         29 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\MarkupSafe-2.1.3.dist-info\LICENSE.rst                             | reStructuredText |         23 |          0 |          6 |         29 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\Werkzeug-2.3.6.dist-info\LICENSE.rst                               | reStructuredText |         23 |          0 |          6 |         29 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\_distutils_hack\__init__.py                                        | Python           |         78 |         19 |         32 |        129 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\_distutils_hack\override.py                                        | Python           |          1 |          0 |          1 |          2 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker-1.6.2.dist-info\LICENSE.rst                                | reStructuredText |         17 |          0 |          4 |         21 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\__init__.py                                                | Python           |         17 |          0 |          3 |         20 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\_saferef.py                                                | Python           |         89 |        123 |         19 |        231 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\_utilities.py                                              | Python           |         83 |         25 |         35 |        143 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\blinker\base.py                                                    | Python           |        265 |        232 |         55 |        552 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click-8.1.4.dist-info\LICENSE.rst                                  | reStructuredText |         23 |          0 |          6 |         29 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\__init__.py                                                  | Python           |         66 |          6 |          2 |         74 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_compat.py                                                   | Python           |        437 |         61 |        126 |        624 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_termui_impl.py                                              | Python           |        519 |        104 |        117 |        740 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_textwrap.py                                                 | Python           |         39 |          0 |         11 |         50 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\_winconsole.py                                               | Python           |        215 |         11 |         54 |        280 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\core.py                                                      | Python           |      1,596 |      1,017 |        430 |      3,043 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\decorators.py                                                | Python           |        279 |        187 |        105 |        571 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\exceptions.py                                                | Python           |        170 |         62 |         57 |        289 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\formatting.py                                                | Python           |        190 |         66 |         46 |        302 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\globals.py                                                   | Python           |         30 |         20 |         19 |         69 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\parser.py                                                    | Python           |        310 |        145 |         75 |        530 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\shell_completion.py                                          | Python           |        257 |        239 |         98 |        594 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\termui.py                                                    | Python           |        316 |        395 |         74 |        785 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\testing.py                                                   | Python           |        307 |        104 |         69 |        480 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\types.py                                                     | Python           |        618 |        288 |        184 |      1,090 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\click\utils.py                                                     | Python           |        306 |        223 |         96 |        625 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\__init__.py                                               | Python           |          4 |          1 |          3 |          8 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\ansi.py                                                   | Python           |         73 |         10 |         20 |        103 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\ansitowin32.py                                            | Python           |        187 |         47 |         44 |        278 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\initialise.py                                             | Python           |         83 |          8 |         31 |        122 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\__init__.py                                         | Python           |          0 |          1 |          1 |          2 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\ansi_test.py                                        | Python           |         55 |          5 |         17 |         77 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\ansitowin32_test.py                                 | Python           |        243 |          8 |         44 |        295 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\initialise_test.py                                  | Python           |        145 |         10 |         35 |        190 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\isatty_test.py                                      | Python           |         43 |          1 |         14 |         58 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\utils.py                                            | Python           |         41 |          1 |          8 |         50 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\tests\winterm_test.py                                     | Python           |         99 |          1 |         32 |        132 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\win32.py                                                  | Python           |        144 |         12 |         25 |        181 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\colorama\winterm.py                                                | Python           |        143 |         29 |         24 |        196 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\__init__.py                                                  | Python           |         89 |          0 |         14 |        103 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\__main__.py                                                  | Python           |          2 |          0 |          2 |          4 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\app.py                                                       | Python           |        823 |      1,184 |        207 |      2,214 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\blueprints.py                                                | Python           |        340 |        203 |         84 |        627 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\cli.py                                                       | Python           |        645 |        223 |        200 |      1,068 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\config.py                                                    | Python           |        126 |        188 |         32 |        346 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\ctx.py                                                       | Python           |        193 |        185 |         63 |        441 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\debughelpers.py                                              | Python           |        113 |         18 |         30 |        161 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\globals.py                                                   | Python           |         68 |         12 |         17 |         97 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\helpers.py                                                   | Python           |        229 |        400 |         65 |        694 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\json\__init__.py                                             | Python           |         28 |        126 |         17 |        171 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\json\provider.py                                             | Python           |         71 |        112 |         34 |        217 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\json\tag.py                                                  | Python           |        147 |         95 |         73 |        315 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\logging.py                                                   | Python           |         32 |         25 |         20 |         77 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\scaffold.py                                                  | Python           |        339 |        480 |        105 |        924 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\sessions.py                                                  | Python           |        153 |        160 |         55 |        368 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\signals.py                                                   | Python           |         25 |          1 |          8 |         34 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\templating.py                                                | Python           |        138 |         42 |         41 |        221 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\testing.py                                                   | Python           |        160 |         77 |         46 |        283 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\typing.py                                                    | Python           |         57 |         15 |         11 |         83 |
| c:\Users\seanh\OneDrive\Aether\env\Lib\site-packages\flask\views.py                                                     | Python           |         60 |        103 |         28 |        191 |
